timestamp,mint,error_type,error_message,context
2025-06-07T10:03:45.080986+00:00,AMvUrAgJW7AbbRHgC8wctsA2E31wwmoppUKWHvktpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 891062186525220, ""v_sol"": 36125424793, ""r_tok"": 611162186525220, ""r_sol"": 6125424793, ""timestamp"": 1749290625.0804532, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T10:03:45.093421+00:00,HDocWtkykcmEotbX16Fq3u3vqikH9jsx1VinaYijpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 551921838687565, ""v_sol"": 58323475841, ""r_tok"": 272021838687565, ""r_sol"": 28323475841, ""timestamp"": 1749290625.093225, ""is_valid"": false, ""validation_issues"": [""virtual_sol_exceeds_initial""]}}"
2025-06-07T10:03:45.095344+00:00,3wGz7TvMotDCZPiDos33qgqMRkJZeAkFr1BaomKXpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1072964588627793, ""v_sol"": 30000990099, ""r_tok"": 793064588627793, ""r_sol"": 990099, ""timestamp"": 1749290625.095231, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.097651+00:00,CsMJ4yM58VsP9eFMgmbYhEYTeTP5EpUXoVaB3fnQpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1069244951541284, ""v_sol"": 30105356084, ""r_tok"": 789344951541284, ""r_sol"": 105356084, ""timestamp"": 1749290625.0975318, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.097684+00:00,3tFUCHkMeDnC2jhEENUWG4afgxghVkEGGfiSxyvEpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1067471740711657, ""v_sol"": 30155365033, ""r_tok"": 787571740711657, ""r_sol"": 155365033, ""timestamp"": 1749290625.097562, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.155897+00:00,HmKy3GZXGeJJRrYqK3zHgSnJZtfK3riH9jEXdzGepump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1072433536718083, ""v_sol"": 30015846111, ""r_tok"": 792533536718083, ""r_sol"": 15846111, ""timestamp"": 1749290625.155377, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.155955+00:00,F6a61p2moZfpF4goY8zT1q9mxqokf3uQFN7bdb5Bpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 954957765792929, ""v_sol"": 33708297015, ""r_tok"": 675057765792929, ""r_sol"": 3708297015, ""timestamp"": 1749290625.1553762, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T10:03:45.172969+00:00,9K5tnEgdtjErcW5uuW7Q8R62YifTrynV5wVmruGcpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1019181818208976, ""v_sol"": 31584158416, ""r_tok"": 739281818208976, ""r_sol"": 1584158416, ""timestamp"": 1749290625.1728141, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.173108+00:00,6RKJEaro6bXQXpzQzhF7WCFhAqTRr59CpkovJK3xpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1070654973404048, ""v_sol"": 30065708188, ""r_tok"": 790754973404048, ""r_sol"": 65708188, ""timestamp"": 1749290625.172801, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.174687+00:00,8Ddi8W7WHCWLzEu2qn7PzTj6kYM46hmUhU7DwfMgpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 879039702439461, ""v_sol"": 36619506398, ""r_tok"": 599139702439461, ""r_sol"": 6619506398, ""timestamp"": 1749290625.174408, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T10:03:45.174987+00:00,4A9LmqzZG6JjRbPMSJZoEmY2PJYndvy3GM5SPJHWpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 975345019041999, ""v_sol"": 33003705740, ""r_tok"": 695445019041999, ""r_sol"": 3003705740, ""timestamp"": 1749290625.174701, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T10:03:45.175161+00:00,5DErkWFjn1MLVAa7BuCni6Um334ovSJxNPG2H4tRpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1071000987483282, ""v_sol"": 30055994699, ""r_tok"": 791100987483282, ""r_sol"": 55994699, ""timestamp"": 1749290625.1749818, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.188504+00:00,EPZcwLQapDN5TAPJzMyBMg36RdeCcTCohfrEMo48pump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1072645991425512, ""v_sol"": 30009900990, ""r_tok"": 792745991425512, ""r_sol"": 9900990, ""timestamp"": 1749290625.188298, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.196196+00:00,Gf6Ak7xaTsAAHetQb4gkkoHmrQseSXRGdB7txTWFpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1026664586272990, ""v_sol"": 31353959643, ""r_tok"": 746764586272990, ""r_sol"": 1353959643, ""timestamp"": 1749290625.196063, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T10:03:45.196251+00:00,87vU2tKXEQ3f9eHETLsNhht3Bvj3hXrUtSr1Kn1gpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1072917739746909, ""v_sol"": 30002300092, ""r_tok"": 793017739746909, ""r_sol"": 2300092, ""timestamp"": 1749290625.196067, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.063928+00:00,3Wk12p2ZLPM6mDqhPSpqGa2XoJo41BzGKfWwAQ4Lpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1014126775441821, ""v_sol"": 31741593641, ""r_tok"": 734226775441821, ""r_sol"": 1741593641, ""timestamp"": 1749318331.063539, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.064388+00:00,6B6Y9JTSwpYw7PsNC7PNLkh1yMBkk6fjGZDxMXTSpUMp,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 826287021430108, ""v_sol"": 38957407267, ""r_tok"": 546387021430108, ""r_sol"": 8957407267, ""timestamp"": 1749318331.064045, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T17:45:31.100198+00:00,DW9oS3QW5puyFKQaccZgjf2fkj3B48yPhbJRdyn6pump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 923648117794416, ""v_sol"": 34850934450, ""r_tok"": 643748117794416, ""r_sol"": 4850934450, ""timestamp"": 1749318331.099891, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T17:45:31.129086+00:00,8J4M3ujJqQom4qEsH9QpHDdV35QNNSXHnPA6Yr1ipump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 966963937629397, ""v_sol"": 33289762684, ""r_tok"": 687063937629397, ""r_sol"": 3289762684, ""timestamp"": 1749318331.1287959, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T17:45:31.263005+00:00,J7hdxomcCpoQ5tzwBVjAznc1oKhWcB6j44FfYHBCcYhT,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1006071613000000, ""v_sol"": 31995734285, ""r_tok"": 726171613000000, ""r_sol"": 1995734285, ""timestamp"": 1749318331.2621188, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.294781+00:00,GqpkU9eZNNxycYZUi1VpXct5r6xWc4ZebYnzPLDGpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 858643351974746, ""v_sol"": 37489371964, ""r_tok"": 578743351974746, ""r_sol"": 7489371964, ""timestamp"": 1749318331.294361, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent"", ""virtual_sol_exceeds_initial""]}}"
2025-06-07T17:45:31.294801+00:00,8iziNCEDJwQPvZtYQR1AWu1MxuNZdp6imsFmFwVupump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1040788442031140, ""v_sol"": 30928475668, ""r_tok"": 760888442031140, ""r_sol"": 928475668, ""timestamp"": 1749318331.294432, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.299859+00:00,2r3b4gsuJ7ZP7SWgRSQmKKBrKP7iQVdz1vMu86ZNpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1068976716613048, ""v_sol"": 30112910320, ""r_tok"": 789076716613048, ""r_sol"": 112910320, ""timestamp"": 1749318331.299584, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.315374+00:00,FCErrJWouKMtpLackDdjJy18xfQGtu1KTABeE4ZJpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1063910549476339, ""v_sol"": 30256303059, ""r_tok"": 784010549476339, ""r_sol"": 256303059, ""timestamp"": 1749318331.31492, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.315546+00:00,8si5UFu76T1kCLZUdV4bwaysFvEMvhJeAUMuqzAipump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1069341075506833, ""v_sol"": 30102649884, ""r_tok"": 789441075506833, ""r_sol"": 102649884, ""timestamp"": 1749318331.3149629, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.323347+00:00,12jbGNiwiqKymXhmLtEVbyyzaz3NPUwrqpnD3erCpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1031013831054605, ""v_sol"": 31221695615, ""r_tok"": 751113831054605, ""r_sol"": 1221695615, ""timestamp"": 1749318331.3231091, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.323517+00:00,FQWhCaHmoCxLtXaUJmaiEdTFvsyUPBuEaaDuzwwVpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1066496720907610, ""v_sol"": 30182933873, ""r_tok"": 786596720907610, ""r_sol"": 182933873, ""timestamp"": 1749318331.3230941, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.323517+00:00,EeboAy33faFAMPqFS6fMawDs7SUG17bNFj7DzW7k2wkG,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1073000000000000, ""v_sol"": 30000000000, ""r_tok"": 793100000000000, ""r_sol"": 0, ""timestamp"": 1749318331.323061, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.323491+00:00,D1CAqxYXKudj7v4gba3FeTsELPD2cVGoUvHpo83Vpump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1064085024592750, ""v_sol"": 30251342006, ""r_tok"": 784185024592750, ""r_sol"": 251342006, ""timestamp"": 1749318331.323072, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
2025-06-07T17:45:31.324657+00:00,AWimd6W1PTBKDv8LNTo41WYWveZRkKbTnrsmbYN4pump,INVALID_INITIAL_STATE,Initial curve state failed validation,"{""curve_state"": {""v_tok"": 1069071393179940, ""v_sol"": 30110243537, ""r_tok"": 789171393179940, ""r_sol"": 110243537, ""timestamp"": 1749318331.324411, ""is_valid"": false, ""validation_issues"": [""total_tokens_inconsistent""]}}"
